,,,,,,,,,
Constituency,List №,,Party/Allegiance,Candidate(s) won,Not elected,Votes,Votes %,,Seat(s) won
KlnE,8,,People Power,,"Wong Yeung-tat, Chan Sau-wai","36,608",12.85, ,
KlnE,9,,Independent,,Tam Heung-man,"5,440",1.91, ,
KlnW,1,,Independent,,Wong Yee-him,"3,746",1.61, ,
KlnW,2,,Democratic,"""Helena"" Wong Pik-wan","Cheung Man-kwong, Li Yiu-kee, Yuen Hoi-man, ""Michelle"" Chong Miu-sheung","36,029",15.52, ,1
KlnW,3,,ADPL,,"Tam Kwok-kiu, Liu Sing-lee, Rosanda Mok Ka-han,Wong Chi-yung, Austen Ng Po-shan","30,364",13.2, ,
KlnW,4,,Independent democrat,,Wong Yat-yuk,"2,399",1.03, ,
KlnW,5,,DAB,"""Ann"" Chiang Lai-wan","Chris Ip Ngo-tung, Vincent Cheng Wing-shun, Chan Wai-ming, ""Sam"" Lam Sum-lim","47,363",20.41, ,1
KlnW,6,,People Power,Wong Yuk-man,"Yim Tat-ming, Chau Tsun-kiu, Lau Tit-wai","38,578",16.62, ,1
KlnW,7,,Awakening Association,,"Lam Yi-lai, Simon Ho Ka-kuen, Au Wing-ho, Lee Ka-wai",859,0.37, ,
KlnW,8,,KWND,Leung Mei-fun,"Yang Wing-kit, Wai Hoi-yinh, Leung Man-kwong","34,548",14.89, ,1
KlnW,9,,Civic,Claudia Mo Man-ching,Joe Wong Tak-chuen,"37,925",16.34, ,1
HKi,1,,Nonpartisan,,Hui Ching-on,"2,980",0.90, ,
HKi,2,,Democratic,Sin Chung-kai,"Yeung Sum, Chai Man-hon, Cheng Lai-king, Leung Suk-ching, Hui Chi-fung","40,558",12.26, ,1
HKi,3,,Independent,,Lo Wing-lok,"16,900",5.11, ,
HKi,4,,People Power,,"Christopher Lau Gar-hung, Shiu Yeuk-yuen, Jeff Au Yeung Ying-kit","18,667",5.64, ,
HKi,5,,DAB,Christopher Chung Shu-kun,"Eddie Ting Kong-ho, Jennifer Chow Kit-bing, Kung Pak-cheung, Ngan Chun-lim, Kenny Lee Kwun-yee, Cheng Chi-sing","33,901",10.25, ,1
HKi,6,,Independent,,Ng Wing-chun,422,0.13, ,
HKi,7,,Labour,Cyd Ho Sau-lan,"Cheng Sze-lut, Chung Chung-fai","31,523",9.53, ,1
HKi,8,,NPP,Regina Ip Lau Suk-yee,"Wong Chor-fung, Tse Tsz-kei","30,289",9.16, ,1
HKi,9,,FTU,Wong Kwok-hing,"Pan Pey-chyou, Chu Ting-lok, Stanley Ho Ngai-kam, Chan Chi-hang","27,336",8.26, ,1
HKi,10,,Civic,Chan Ka-lok,Tanya Chan,"70,475",21.31, ,1
HKi,11,,Nonpartisan,,Ho Kar-tai,343,0.10, ,
HKi,12,,DAB,Jasper Tsang Yok-sing,,"36,517",11.04, ,1
HKi,13,,Liberal,,"Miriam Lau Kin-yee, Shiu Ka-fai, ""Micheal"" Lee Chun-keung","17,686",5.35, ,
